x,y,r
110,180,17
174,176,17
92,70,17
164,126,17
178,154,18
130,100,17
76,174,15
138,120,17
128,48,15
158,150,14
154,190,15
108,70,16
120,44,14
42,110,12
180,78,10
110,144,5
184,160,7
182,182,8
146,126,8
74,126,7
138,44,5
120,64,12
100,152,5
116,96,8
72,180,8
94,126,7
128,72,7
158,204,10
200,126,9
194,132,8
156,80,6
146,108,5
156,98,5
90,162,9
74,68,8
108,126,8
128,144,8
162,70,6
74,164,6
200,144,6
100,172,5
110,216,8
146,70,8
182,142,7
192,100,8
148,90,7
82,78,6
92,106,6
100,80,5
110,162,5
182,106,6
174,98,5
210,118,5
70,150,8
102,116,7
66,114,6
94,182,6
146,164,6
166,88,6
210,136,5
216,128,5
110,108,4
