x,y,r
182,184,18
124,98,21
84,124,18
160,90,20
164,130,18
144,122,14
126,130,16
78,72,17
168,194,16
192,86,16
162,102,14
116,176,16
156,210,16
94,54,11
138,104,16
210,154,16
150,192,16
66,82,12
110,204,14
114,154,12
98,192,16
98,124,16
102,34,16
102,154,10
24,130,15
172,140,14
92,206,11
62,132,15
178,146,12
86,62,12
132,162,12
94,134,11
144,160,14
104,216,10
194,102,16
168,172,12
104,116,10
138,94,14
188,166,14
150,42,12
190,192,12
160,54,12
132,226,12
114,82,12
176,190,12
68,108,10
122,62,10
122,162,12
28,106,11
132,90,11
160,162,10
196,134,10
96,160,12
190,70,9
76,190,12
170,88,12
94,98,10
136,120,10
148,216,10
30,144,10
48,126,10
76,82,10
142,80,10
22,154,9
34,94,8
110,186,8
200,94,7
186,156,11
232,134,11
102,48,10
196,116,9
226,154,9
86,180,9
210,102,8
36,112,7
62,140,5
210,180,15
188,142,11
222,116,11
176,70,10
20,98,10
68,152,10
150,226,10
114,72,10
158,136,10
226,142,10
154,120,7
44,176,14
42,86,12
196,162,11
40,160,10
54,166,10
98,68,7
114,142,10
178,110,10
156,82,9
184,56,8
172,120,7
220,92,6
228,124,11
30,120,10
104,224,10
46,100,8
114,120,7
134,176,7
64,190,7
136,30,6
80,174,5
104,146,10
138,46,10
158,66,9
54,76,8
146,110,7
16,130,7
120,28,9
226,106,9
58,174,8
144,182,8
146,148,7
190,176,7
140,228,9
116,192,9
72,94,8
14,166,7
114,106,7
46,136,7
54,200,7
88,238,7
128,236,7
158,28,7
126,220,5
208,138,4
28,160,9
60,160,8
106,76,7
170,104,7
74,182,6
116,228,6
64,120,7
204,76,7
128,22,6
134,138,6
164,112,6
184,76,5
98,86,5
164,78,4
164,148,4
100,178,7
114,48,7
158,232,7
52,58,6
60,104,6
154,156,6
164,222,3
