x,y,r
142,144,17
174,100,17
140,76,17
148,86,17
166,110,17
130,162,15
116,84,15
148,98,14
42,198,14
102,102,14
84,158,12
72,100,11
100,164,13
90,120,12
116,188,13
98,76,9
110,90,10
70,60,14
92,202,12
180,186,12
84,134,9
152,186,9
198,66,9
64,46,8
36,194,7
198,100,7
122,50,9
46,194,8
198,158,7
122,246,6
72,188,6
136,172,3
172,64,12
206,200,9
82,72,8
84,100,10
72,144,9
84,172,9
174,138,9
44,56,8
122,150,8
150,76,8
224,130,7
192,132,7
72,62,10
118,118,8
40,44,6
174,188,6
42,54,9
84,106,8
136,132,8
110,186,8
148,216,6
58,144,3
40,198,8
202,134,7
184,214,6
166,34,6
34,226,6
52,216,6
200,46,6
98,42,5
130,64,3
196,172,8
96,66,8
124,98,8
50,206,7
162,186,7
44,216,6
62,86,6
210,34,5
80,228,5
92,152,5
128,124,5
190,38,5
136,202,3
98,134,7
82,144,7
38,82,6
198,54,6
62,42,6
98,216,6
92,164,5
180,34,5
206,56,5
90,78,3
110,144,3
136,144,3
168,94,3
168,152,3
174,86,3
108,76,7
120,184,7
64,34,7
106,62,7
148,188,7
62,172,6
202,200,6
38,32,6
38,64,6
46,60,6
58,100,6
174,70,6
38,124,5
210,84,5
140,182,5
186,218,5
210,68,5
84,86,3
110,116,3
136,116,3
142,122,3
168,136,3
180,152,3
194,152,3
178,182,7
202,184,7
68,86,6
102,114,6
110,130,6
132,210,6
136,42,6
168,228,6
212,226,5
76,124,5
104,158,5
114,122,5
128,182,5
170,124,5
58,116,3
66,94,3
90,94,3
104,66,3
122,86,3
142,48,3
156,66,3
