x,y,r
144,148,12
108,22,13
236,144,12
156,30,18
94,100,12
112,146,11
148,178,16
210,86,18
18,118,12
112,114,10
172,110,10
184,98,10
82,88,17
110,206,12
18,148,12
144,84,11
162,72,15
172,86,10
68,104,14
108,176,11
138,50,14
92,74,14
170,150,14
156,102,12
78,116,12
82,176,12
186,158,11
198,112,14
148,238,11
78,148,10
234,110,9
142,20,8
172,170,14
156,226,14
48,146,12
108,86,12
56,120,15
70,130,14
114,240,10
170,52,14
68,164,11
154,70,11
140,116,10
162,194,9
174,210,12
108,52,9
206,114,6
94,166,8
176,178,8
