x,y,r
182,170,21
166,76,18
122,126,20
88,76,18
166,192,16
76,98,16
188,126,18
100,94,16
44,116,7
188,94,15
170,144,14
178,162,14
70,156,12
66,126,14
188,138,12
190,172,12
140,176,12
172,88,11
150,80,11
154,174,11
172,176,11
74,118,10
68,172,12
104,110,10
158,188,10
212,150,7
128,34,5
90,170,9
110,216,7
212,116,7
114,206,12
132,148,12
82,112,10
130,66,10
150,108,10
166,168,10
84,156,10
132,192,10
66,138,9
116,144,10
116,78,10
98,162,9
142,118,9
180,178,9
90,200,8
134,94,10
142,192,10
154,142,10
122,192,10
118,186,9
182,86,9
130,134,8
184,104,8
110,82,5
102,74,7
114,90,9
144,214,8
84,128,7
154,132,7
68,106,5
100,122,9
54,140,8
154,152,7
122,170,7
146,184,7
172,110,7
178,130,7
100,190,5
162,148,5
138,160,7
146,132,7
72,144,8
128,114,8
164,200,7
104,156,7
118,160,6
110,132,5
126,84,4
126,180,4
144,148,4
64,94,8
84,88,7
196,94,7
100,172,6
110,148,6
110,66,5
196,150,5
52,124,4
204,142,4
88,140,3
144,84,7
136,110,6
154,124,6
168,158,6
60,116,4
146,66,4
