x,y,r
220,62,10
86,88,10
168,172,10
194,38,10
86,172,10
116,90,9
58,222,10
220,196,10
140,142,10
60,38,10
138,62,10
192,62,10
62,198,10
86,66,10
240,124,15
62,144,10
116,170,10
44,130,10
166,62,10
168,116,10
194,142,10
192,170,10
136,170,10
116,62,10
56,170,10
136,90,10
168,142,10
58,118,10
86,112,10
210,130,10
194,222,7
130,210,10
198,90,10
86,146,9
122,50,14
86,194,9
170,194,8
58,60,10
140,194,10
114,196,10
116,114,11
116,34,10
112,142,8
192,118,8
128,130,8
60,90,10
138,114,8
168,86,6
34,64,7
196,194,9
34,196,6
138,38,8
