x,y,r
50,128,20
204,128,20
182,82,19
216,106,20
78,86,21
96,170,18
130,152,11
126,202,10
158,84,15
62,150,10
192,150,10
196,128,10
148,90,16
160,170,13
98,130,12
156,130,12
126,54,10
214,120,16
124,104,11
146,98,16
148,138,15
110,112,12
34,104,10
68,80,9
142,168,12
176,162,11
210,138,10
30,128,8
224,128,8
186,176,11
64,128,9
70,176,11
208,112,11
110,162,12
178,90,10
78,166,10
42,90,15
96,84,11
32,152,10
110,92,10
222,152,10
126,180,9
206,168,15
44,142,10
48,112,10
120,152,8
160,152,8
128,128,6
78,144,10
148,158,10
190,106,8
134,102,7
174,190,11
44,166,10
190,82,8
128,70,6
128,78,7
