x,y,r
120,210,16
164,208,11
186,188,11
204,216,17
206,90,11
212,132,13
62,142,12
162,174,13
68,190,11
130,44,12
210,172,11
190,64,11
22,226,10
192,144,13
212,208,13
44,124,12
150,24,10
232,152,10
144,230,9
128,206,14
124,124,11
70,24,10
130,86,10
234,102,13
190,234,11
86,88,10
144,150,10
186,106,10
44,50,12
48,168,10
28,148,10
66,230,10
30,24,8
150,68,9
124,168,9
228,110,9
104,186,9
228,192,9
106,108,8
208,66,12
232,30,10
46,88,10
210,48,9
232,68,9
228,234,9
26,104,8
144,188,11
46,208,8
106,68,8
106,28,10
148,108,8
84,166,8
104,146,8
68,104,8
26,188,8
48,66,9
48,130,7
164,128,6
