x,y,r
166,140,17
90,140,17
90,80,17
110,156,17
146,156,17
234,112,12
20,112,12
124,142,14
132,142,14
46,170,14
140,64,9
202,118,7
54,118,7
216,164,9
106,130,9
158,104,5
198,88,7
78,120,7
146,96,6
128,126,6
108,48,3
108,96,8
154,198,8
86,130,7
170,130,7
136,88,7
80,88,6
118,40,6
136,40,6
174,88,6
146,48,3
166,110,8
168,148,8
58,88,7
126,114,7
98,64,6
158,64,6
158,134,6
108,192,3
138,212,6
138,116,6
118,152,6
138,152,6
146,126,5
210,112,4
108,62,3
88,110,8
90,44,7
164,44,7
156,152,6
20,140,6
56,148,6
82,166,6
174,166,6
234,140,6
108,142,5
38,104,4
46,112,4
218,104,4
46,142,3
210,142,3
210,156,3
