x,y,r
152,102,17
154,80,17
152,198,7
138,24,9
138,230,9
92,90,8
188,142,8
86,84,12
66,186,9
106,104,9
152,176,9
104,196,9
92,66,8
112,68,8
140,48,8
104,78,9
104,172,9
178,152,9
68,142,8
112,186,8
148,56,10
94,114,10
56,148,9
140,206,9
178,104,9
56,102,9
138,186,8
234,140,10
152,124,9
68,90,8
188,164,8
92,164,8
104,128,7
100,32,10
152,152,9
106,58,9
178,174,9
128,200,9
90,140,8
138,138,8
68,72,8
164,136,8
100,224,13
82,150,9
186,186,9
202,150,9
114,212,9
78,80,8
142,94,8
142,118,8
70,116,8
164,72,8
162,184,9
32,130,9
70,162,8
142,162,8
212,114,8
80,172,8
118,140,8
22,118,7
114,90,9
142,68,8
102,148,8
114,116,8
162,118,8
214,138,7
42,114,8
42,140,8
190,92,8
116,26,6
80,106,7
108,220,8
