x,y,r
146,144,14
144,238,12
240,112,11
146,110,10
240,144,11
16,144,11
76,180,14
62,100,17
160,186,18
212,108,14
166,194,18
146,42,14
212,146,14
110,108,11
80,212,17
88,62,18
48,142,14
178,104,14
180,78,12
190,94,12
112,146,11
102,80,15
82,44,14
142,210,14
146,14,10
174,180,15
114,44,14
76,82,10
152,176,15
98,92,14
46,108,12
108,240,10
92,196,14
176,148,11
94,162,10
160,66,12
108,174,9
148,82,9
110,16,7
64,158,14
98,66,10
212,80,10
16,112,7
62,90,12
198,160,12
108,206,10
90,96,14
74,108,9
156,194,10
112,214,11
