x,y,r
154,130,19
82,126,17
132,162,17
140,188,17
238,124,9
128,232,10
128,14,9
146,124,16
152,116,15
18,124,9
122,170,14
136,152,14
142,92,10
36,106,8
98,148,12
76,84,18
76,120,14
108,126,12
146,214,8
138,48,14
134,100,14
110,68,8
126,112,10
116,146,11
72,102,8
164,124,7
110,34,4
160,136,12
122,100,9
102,78,8
166,156,7
120,78,5
138,58,10
172,114,9
164,112,9
142,146,8
96,100,8
92,138,7
118,204,5
128,196,5
174,134,5
36,142,4
178,104,8
120,132,7
134,124,6
192,134,6
82,134,5
128,176,5
104,118,7
154,98,3
104,90,6
136,78,5
110,214,4
148,68,4
46,114,6
118,186,5
218,124,5
90,160,3
