x,y,r
32,138,17
138,30,17
118,30,17
118,224,17
138,224,16
190,114,18
62,168,14
128,16,7
88,68,14
128,238,7
92,114,14
224,140,16
82,120,15
168,66,15
202,52,9
160,84,10
18,128,7
160,170,10
66,134,14
102,126,14
90,164,7
54,52,9
90,90,7
56,88,12
128,164,10
54,72,8
184,72,7
184,146,5
172,190,13
224,114,11
128,90,9
146,184,6
170,158,10
128,108,7
44,118,5
60,114,9
200,166,7
136,192,5
98,84,9
122,64,9
72,108,5
134,64,9
184,184,6
126,146,6
36,126,5
174,98,5
72,146,5
162,142,9
184,54,7
128,32,5
128,222,5
118,80,5
118,174,5
78,94,9
140,58,8
70,126,7
202,108,6
194,154,6
74,164,5
210,136,6
220,126,5
136,174,4
194,100,6
202,90,6
62,100,5
62,154,5
64,62,5
110,202,5
110,182,5
118,44,5
136,80,4
