x,y,r
102,168,17
130,118,17
164,108,17
122,66,17
132,214,17
172,160,17
94,150,16
160,68,18
192,160,15
72,122,18
194,94,14
106,138,14
128,100,14
96,60,11
138,192,15
230,132,12
134,62,14
156,142,12
230,124,12
68,130,10
106,164,10
186,86,7
114,66,12
230,126,10
152,100,10
28,128,8
170,184,7
88,116,10
134,184,10
108,120,8
128,168,8
118,170,8
72,86,7
86,184,7
134,100,8
146,98,7
170,72,7
126,228,12
136,86,9
102,130,8
128,174,8
56,100,7
72,170,7
132,230,7
184,170,7
116,60,5
164,150,5
106,190,3
196,124,9
126,82,7
126,130,7
170,100,7
92,176,6
64,122,3
122,204,3
150,136,3
86,114,7
128,26,6
130,182,6
154,142,6
170,170,6
128,92,5
138,106,5
160,54,5
78,108,3
136,80,3
140,168,7
108,176,6
126,114,6
142,128,5
202,160,4
128,142,4
36,122,3
64,108,3
80,92,3
80,136,3
136,92,3
150,120,3
108,66,3
