x,y,r
154,80,17
104,150,7
112,138,8
152,198,7
190,186,10
138,24,9
176,104,10
92,184,8
104,130,12
104,78,9
188,142,8
152,176,9
212,136,9
92,120,12
92,66,8
102,200,8
112,186,8
80,150,7
114,230,10
104,172,9
176,176,9
178,152,9
68,142,8
112,68,8
152,126,8
68,186,8
148,56,10
138,230,9
140,206,9
80,78,8
188,160,8
80,104,7
56,148,9
90,162,8
138,186,8
152,152,9
56,106,9
44,112,8
68,164,8
106,58,9
152,106,9
172,82,9
234,138,9
68,90,8
68,72,8
164,118,8
100,224,13
202,150,9
114,212,9
138,48,9
234,116,9
138,138,8
142,94,8
164,184,8
114,44,9
90,92,8
142,162,8
164,66,9
164,142,9
44,142,9
94,140,8
114,116,8
142,68,8
164,160,8
102,106,8
186,94,8
200,104,7
212,114,8
148,220,7
108,220,8
126,56,8
144,116,4
