x,y,r
122,198,21
172,130,18
162,130,18
120,162,16
130,168,18
204,118,17
122,174,18
134,90,17
90,132,14
216,142,12
130,196,11
238,130,15
146,116,12
146,226,12
58,148,12
124,64,14
66,126,14
138,126,14
116,46,12
146,54,12
58,162,12
118,88,8
206,130,4
134,66,12
64,112,11
112,146,10
88,120,7
52,140,10
192,132,10
218,112,10
30,144,9
110,216,10
146,38,8
108,192,10
130,146,9
146,196,9
44,106,9
122,222,7
150,130,7
128,210,4
162,54,10
138,42,9
134,28,9
184,128,9
190,120,8
198,148,8
56,110,7
94,214,10
226,148,9
146,144,8
110,58,7
108,122,7
200,90,5
90,140,9
142,136,8
106,112,7
122,54,7
40,122,7
120,230,7
138,214,7
52,170,5
88,42,5
166,204,5
128,48,4
134,82,9
140,190,9
156,224,7
192,142,7
68,150,7
108,202,7
156,112,6
146,18,6
42,88,5
66,142,7
112,226,7
218,134,7
42,158,6
76,114,5
52,88,5
134,8,5
246,124,5
48,128,4
152,238,10
202,158,7
134,226,6
138,202,6
212,170,6
88,204,5
124,154,7
124,118,7
168,118,6
8,136,6
118,114,6
142,28,6
196,112,6
36,152,2
