x,y,r
68,148,18
188,148,18
202,92,17
88,186,15
132,152,17
124,112,15
26,130,14
44,162,16
156,126,16
98,126,12
12,120,10
244,120,10
98,132,11
12,138,11
156,132,11
244,138,11
48,132,8
60,98,8
208,132,8
142,42,10
194,78,9
122,148,14
130,108,13
196,98,8
12,116,7
244,116,7
126,108,13
166,102,10
98,150,8
202,172,13
88,102,10
64,98,9
192,98,9
128,188,8
158,150,8
208,126,8
128,132,8
166,160,7
128,150,10
50,170,10
86,158,7
90,160,7
152,86,10
196,102,10
64,160,9
192,160,9
34,120,9
60,180,8
98,108,8
126,70,8
82,140,7
194,178,7
152,134,13
126,146,12
48,128,8
58,104,8
168,180,8
128,128,7
152,170,9
88,180,8
156,110,7
152,70,7
114,216,6
102,70,7
58,156,6
170,120,7
102,188,7
152,188,7
220,122,7
164,76,6
196,156,6
144,120,8
138,200,6
70,130,5
184,130,5
84,192,8
104,88,8
172,140,7
110,142,5
114,44,7
110,96,7
140,220,7
128,88,7
128,170,6
60,138,6
94,128,8
152,66,7
36,116,7
120,182,7
60,120,6
116,54,6
62,80,6
