x,y,r
68,146,21
124,224,20
96,220,18
174,148,21
134,168,16
128,202,13
86,108,18
184,232,18
174,104,18
74,72,16
82,172,12
224,158,20
178,80,16
102,54,13
200,154,18
82,100,14
62,152,12
104,102,11
124,102,16
132,32,10
210,20,18
126,170,14
28,120,14
108,172,12
132,124,11
138,26,11
108,130,12
158,150,12
102,80,12
162,204,11
212,234,7
178,176,11
122,234,10
164,30,7
24,92,10
134,78,16
52,202,12
110,202,6
38,106,12
232,132,12
156,172,11
236,220,9
80,78,7
186,78,7
72,194,10
130,54,9
224,240,9
102,154,7
56,100,6
110,52,6
32,98,7
158,56,7
184,182,7
242,200,6
82,130,6
88,124,6
