x,y,r
238,114,13
112,242,12
124,162,11
238,136,20
128,136,18
98,158,10
90,130,18
64,130,10
16,114,8
128,102,11
76,114,11
174,112,11
52,114,10
156,96,18
158,156,18
82,146,12
130,68,11
96,94,18
222,138,16
172,84,12
172,144,11
92,100,14
112,86,11
86,172,10
142,144,10
222,122,16
164,102,14
108,114,12
140,82,11
136,24,16
156,164,15
110,148,12
116,22,12
142,180,12
84,84,11
196,108,14
114,172,11
100,128,16
156,130,12
190,132,11
192,100,11
16,144,9
122,130,13
132,194,12
172,174,11
140,238,10
148,114,11
238,148,10
130,126,10
196,154,12
108,20,11
152,196,14
80,178,10
144,206,10
70,102,12
150,144,9
124,30,8
144,108,5
50,144,2
80,52,2
112,52,2
142,20,2
174,52,2
204,144,2
204,176,2
76,84,6
