x,y,r
236,132,16
96,62,16
202,168,16
28,132,16
236,172,16
202,92,14
124,100,18
62,92,14
96,202,16
168,62,15
110,50,19
58,172,16
140,100,17
218,146,16
62,64,14
132,228,17
150,46,14
138,30,14
218,114,14
46,144,18
92,34,15
28,172,15
26,92,12
92,234,12
202,60,11
164,124,17
174,204,17
64,200,12
168,198,16
184,80,12
80,186,10
220,76,16
184,178,16
176,62,16
114,216,14
98,26,10
46,118,17
100,124,16
168,26,10
46,76,16
198,204,15
240,94,11
130,132,9
148,218,12
98,166,11
170,94,7
222,188,15
204,198,11
130,36,10
114,42,11
138,162,14
66,170,12
76,80,10
202,130,8
168,236,7
100,100,12
172,54,9
124,162,10
102,138,11
38,132,9
130,240,12
84,84,7
170,168,7
62,100,7
94,54,7
132,90,6
122,120,9
