x,y,r
14,128,11
130,142,17
168,188,17
206,96,16
48,94,14
126,14,10
82,106,10
128,244,7
152,170,14
128,200,8
240,128,7
176,106,7
84,174,6
50,160,12
66,82,8
196,132,8
140,210,7
130,80,7
96,184,15
150,60,10
50,120,8
58,128,8
58,104,8
86,82,8
80,128,8
106,148,7
198,150,8
62,174,7
172,66,9
58,150,8
104,58,8
114,208,8
140,50,8
172,84,8
128,154,8
178,128,8
106,108,7
90,210,10
128,62,9
148,130,8
84,64,7
126,38,7
188,118,8
192,84,7
126,220,9
174,172,8
192,176,7
78,192,8
114,50,8
214,128,8
108,130,7
128,172,7
106,178,8
128,108,7
