x,y
196.00,157.50
61.25,122.50
77.00,140.00
94.50,57.75
94.50,157.50
113.75,147.00
197.75,56.00
127.75,59.50
28.00,159.25
140.00,141.75
164.50,192.50
54.25,197.75
131.25,89.25
64.75,89.25
166.25,54.25
108.50,141.75
131.25,157.50
77.00,108.50
63.00,22.75
113.75,103.25
162.75,124.25
75.25,75.25
127.75,127.75
63.00,54.25
31.50,59.50
161.00,89.25
115.50,138.25
166.25,26.25
159.25,161.00
59.50,157.50
155.75,124.25
122.50,120.75
157.50,154.00
89.25,87.50
145.25,70.00
159.25,61.25
124.25,91.00
168.00,92.75
148.75,145.25
98.00,85.75
99.75,124.25
