x,y
42.00,115.50
99.75,66.50
180.25,126.00
126.00,113.75
166.25,115.50
96.25,113.75
154.00,171.50
211.75,113.75
10.50,113.75
113.75,42.00
68.25,56.00
154.00,56.00
66.50,140.00
155.75,140.00
169.75,124.25
126.00,147.00
52.50,113.75
87.50,36.75
96.25,143.50
197.75,127.75
119.00,178.50
63.00,103.25
31.50,133.00
138.25,185.50
82.25,56.00
103.25,33.25
96.25,26.25
68.25,82.25
183.75,82.25
169.75,143.50
126.00,56.00
126.00,199.50
71.75,136.50
38.50,98.00
176.75,92.75
119.00,75.25
141.75,99.75
47.25,120.75
52.50,98.00
59.50,120.75
112.00,141.75
147.00,92.75
103.25,178.50
68.25,171.50
185.50,103.25
112.00,183.75
127.75,70.00
154.00,143.50
199.50,99.75
54.25,143.50
61.25,91.00
117.25,36.75
161.00,96.25
138.25,68.25
22.75,127.75
80.50,99.75
84.00,127.75
91.00,63.00
138.25,127.75
154.00,126.00
80.50,70.00
112.00,26.25
175.00,106.75
190.75,120.75
89.25,77.00
38.50,84.00
112.00,127.75
169.75,157.50
161.00,131.25
70.00,96.25
176.75,131.25
33.25,94.50
84.00,40.25
117.25,152.25
148.75,105.00
157.50,113.75
105.00,75.25
40.25,127.75
45.50,92.75
75.25,120.75
133.00,164.50
133.00,33.25
161.00,77.00
133.00,178.50
140.00,171.50
154.00,84.00
119.00,63.00
52.50,157.50
112.00,12.25
103.25,47.25
134.75,73.50
171.50,115.50
57.75,106.75
82.25,183.75
98.00,155.75
162.75,91.00
168.00,98.00
148.75,134.75
31.50,120.75
105.00,192.50
112.00,84.00
24.50,113.75
82.25,113.75
103.25,63.00
110.25,56.00
112.00,171.50
45.50,134.75
119.00,47.25
133.00,63.00
169.75,70.00
124.25,29.75
70.00,113.75
91.00,180.25
103.25,150.50
138.25,157.50
22.75,99.75
38.50,143.50
68.25,143.50
91.00,164.50
183.75,143.50
189.00,92.75
96.25,54.25
103.25,164.50
110.25,157.50
131.25,77.00
197.75,113.75
89.25,192.50
110.25,70.00
126.00,185.50
126.00,157.50
96.25,84.00
124.25,84.00
