x,y
112.00,113.75
112.00,211.75
77.00,147.00
45.50,182.00
77.00,113.75
43.75,80.50
143.50,180.25
43.75,113.75
112.00,49.00
148.75,45.50
147.00,147.00
112.00,15.75
113.75,154.00
77.00,42.00
147.00,113.75
180.25,47.25
78.75,178.50
108.50,182.00
49.00,43.75
178.50,145.25
14.00,112.00
180.25,180.25
180.25,80.50
50.75,176.75
115.50,75.25
141.75,82.25
208.25,115.50
78.75,77.00
43.75,148.75
182.00,115.50
115.50,183.75
108.50,77.00
145.25,187.25
141.75,43.75
147.00,36.75
108.50,143.50
82.25,82.25
98.00,168.00
115.50,42.00
112.00,175.00
