x,y
196.00,108.50
154.00,194.25
155.75,31.50
133.00,131.25
66.50,192.50
108.50,26.25
115.50,199.50
28.00,155.75
148.75,108.50
71.75,26.25
80.50,131.25
28.00,115.50
45.50,84.00
103.25,145.25
150.50,63.00
189.00,66.50
189.00,155.75
89.25,85.75
147.00,157.50
159.25,108.50
138.25,82.25
66.50,148.75
42.00,133.00
159.25,64.75
61.25,113.75
134.75,91.00
29.75,64.75
150.50,150.50
106.75,117.25
131.25,50.75
73.50,197.75
180.25,129.50
94.50,183.75
140.00,136.50
166.25,133.00
61.25,68.25
113.75,21.00
196.00,61.25
