x,y
140.00,59.50
50.75,68.25
38.50,117.25
122.50,40.25
119.00,159.25
110.25,210.00
143.50,159.25
70.00,169.75
99.75,59.50
50.75,110.25
159.25,80.50
61.25,141.75
122.50,178.50
110.25,49.00
180.25,120.75
112.00,68.25
115.50,176.75
152.25,49.00
61.25,82.25
164.50,140.00
68.25,108.50
84.00,161.00
106.75,157.50
166.25,84.00
112.00,150.50
131.25,108.50
70.00,49.00
50.75,148.75
82.25,178.50
187.25,94.50
161.00,96.25
131.25,150.50
180.25,99.75
110.25,129.50
75.25,164.50
89.25,190.75
152.25,89.25
57.75,99.75
110.25,190.75
171.50,129.50
29.75,89.25
110.25,8.75
112.00,26.25
82.25,57.75
173.25,110.25
91.00,169.75
150.50,68.25
152.25,129.50
91.00,150.50
10.50,108.50
187.25,101.50
173.25,87.50
89.25,28.00
152.25,171.50
162.75,120.75
38.50,99.75
129.50,49.00
29.75,108.50
171.50,148.75
131.25,28.00
129.50,171.50
110.25,168.00
150.50,152.25
110.25,108.50
91.00,68.25
68.25,129.50
131.25,66.50
91.00,110.25
120.75,59.50
129.50,189.00
101.50,180.25
89.25,47.25
61.25,122.50
110.25,89.25
119.00,99.75
49.00,89.25
68.25,148.75
211.75,110.25
192.50,89.25
192.50,126.00
