x,y
43.75,113.75
127.75,78.75
110.25,112.00
96.25,78.75
129.50,147.00
99.75,57.75
124.25,126.00
89.25,52.50
141.75,143.50
103.25,173.25
87.50,68.25
122.50,35.00
122.50,192.50
120.75,173.25
94.50,113.75
154.00,89.25
171.50,87.50
70.00,105.00
171.50,122.50
134.75,71.75
87.50,157.50
190.75,124.25
36.75,105.00
136.50,87.50
105.00,105.00
119.00,52.50
154.00,122.50
36.75,124.25
120.75,155.75
127.75,113.75
77.00,45.50
136.50,173.25
94.50,182.00
70.00,122.50
52.50,138.25
119.00,105.00
112.00,78.75
147.00,113.75
120.75,19.25
124.25,57.75
50.75,87.50
54.25,124.25
157.50,154.00
157.50,106.75
94.50,199.50
77.00,147.00
112.00,45.50
115.50,66.50
190.75,106.75
106.75,91.00
71.75,159.25
89.25,106.75
103.25,138.25
61.25,131.25
43.75,147.00
61.25,115.50
112.00,145.25
78.75,113.75
112.00,28.00
145.25,164.50
197.75,113.75
129.50,96.25
122.50,89.25
133.00,101.50
82.25,91.00
99.75,40.25
89.25,119.00
61.25,164.50
145.25,78.75
145.25,131.25
162.75,78.75
180.25,113.75
68.25,91.00
124.25,42.00
99.75,126.00
99.75,33.25
124.25,73.50
134.75,50.75
61.25,147.00
94.50,147.00
120.75,140.00
59.50,96.25
94.50,131.25
180.25,129.50
26.25,129.50
129.50,199.50
155.75,70.00
94.50,164.50
66.50,141.75
173.25,136.50
168.00,103.25
89.25,176.75
134.75,136.50
105.00,68.25
180.25,78.75
180.25,147.00
213.50,113.75
84.00,136.50
94.50,96.25
113.75,12.25
113.75,199.50
145.25,45.50
77.00,182.00
59.50,78.75
145.25,63.00
10.50,113.75
77.00,129.50
43.75,78.75
134.75,154.00
52.50,105.00
75.25,96.25
161.00,164.50
103.25,189.00
78.75,78.75
112.00,131.25
145.25,182.00
29.75,99.75
103.25,154.00
112.00,182.00
145.25,96.25
43.75,96.25
94.50,45.50
112.00,164.50
112.00,96.25
162.75,147.00
52.50,155.75
78.75,63.00
61.25,63.00
112.00,215.25
129.50,164.50
