x,y
145.25,122.50
78.75,122.50
78.75,70.00
96.25,136.50
127.75,136.50
204.75,98.00
17.50,98.00
108.50,124.25
115.50,124.25
40.25,148.75
122.50,56.00
176.75,103.25
47.25,103.25
189.00,143.50
92.75,113.75
138.25,91.00
173.25,77.00
68.25,105.00
127.75,84.00
112.00,110.25
94.50,42.00
94.50,84.00
134.75,173.25
75.25,113.75
148.75,113.75
119.00,77.00
70.00,77.00
103.25,35.00
119.00,35.00
152.25,77.00
127.75,42.00
145.25,96.25
147.00,129.50
50.75,77.00
110.25,99.75
85.75,56.00
138.25,56.00
138.25,117.25
94.50,168.00
120.75,185.50
120.75,101.50
103.25,133.00
120.75,133.00
127.75,110.25
183.75,98.00
94.50,54.25
77.00,96.25
78.75,38.50
143.50,38.50
136.50,133.00
17.50,122.50
49.00,129.50
71.75,145.25
152.25,145.25
204.75,122.50
94.50,124.25
33.25,91.00
40.25,98.00
190.75,91.00
40.25,124.25
183.75,124.25
183.75,136.50
