x,y
68.25,94.50
147.00,175.00
101.50,147.00
47.25,98.00
169.75,82.25
117.25,35.00
85.75,56.00
49.00,110.25
73.50,40.25
71.75,157.50
120.75,201.25
50.75,138.25
78.75,157.50
176.75,63.00
178.50,105.00
110.25,24.50
73.50,63.00
71.75,175.00
87.50,49.00
155.75,162.75
50.75,162.75
103.25,197.75
19.25,106.75
120.75,49.00
175.00,175.00
50.75,56.00
113.75,89.25
127.75,84.00
84.00,182.00
143.50,154.00
168.00,154.00
96.25,29.75
194.25,106.75
54.25,92.75
28.00,122.50
57.75,73.50
196.00,126.00
136.50,154.00
108.50,176.75
120.75,183.75
108.50,31.50
63.00,152.25
43.75,68.25
168.00,162.75
147.00,68.25
66.50,82.25
56.00,148.75
78.75,92.75
117.25,169.75
54.25,45.50
103.25,208.25
131.25,98.00
124.25,113.75
63.00,45.50
29.75,101.50
101.50,113.75
