x,y
28.00,120.75
120.75,26.25
103.25,26.25
103.25,196.00
120.75,196.00
166.25,99.75
54.25,147.00
112.00,14.00
77.00,59.50
112.00,208.25
80.50,99.75
196.00,122.50
71.75,105.00
147.00,57.75
176.75,45.50
140.00,73.50
15.75,112.00
140.00,148.75
57.75,117.25
89.25,110.25
78.75,143.50
47.25,45.50
78.75,78.75
49.00,77.00
112.00,143.50
47.25,63.00
161.00,63.00
161.00,127.75
150.50,166.25
196.00,99.75
112.00,78.75
127.75,161.00
148.75,138.25
112.00,94.50
38.50,103.25
52.50,99.75
175.00,145.25
119.00,168.00
85.75,73.50
106.75,56.00
63.00,94.50
117.25,56.00
161.00,161.00
110.25,127.75
31.50,110.25
152.25,85.75
63.00,127.75
141.75,124.25
161.00,47.25
112.00,28.00
112.00,194.25
103.25,70.00
103.25,152.25
68.25,82.25
122.50,50.75
61.25,110.25
176.75,94.50
169.75,134.75
64.75,143.50
183.75,119.00
192.50,110.25
119.00,152.25
169.75,87.50
176.75,78.75
54.25,87.50
54.25,134.75
56.00,54.25
96.25,176.75
96.25,159.25
103.25,38.50
119.00,70.00
