x,y
133.00,89.25
134.75,70.00
133.00,173.25
120.75,21.00
120.75,201.25
80.50,78.75
164.50,124.25
75.25,73.50
57.75,162.75
92.75,91.00
133.00,154.00
91.00,171.50
80.50,57.75
98.00,59.50
122.50,42.00
91.00,68.25
91.00,150.50
155.75,133.00
59.50,124.25
98.00,162.75
129.50,49.00
82.25,99.75
49.00,129.50
122.50,180.25
155.75,91.00
49.00,89.25
120.75,162.75
204.75,122.50
133.00,108.50
59.50,78.75
164.50,143.50
80.50,143.50
91.00,112.00
87.50,28.00
133.00,133.00
92.75,50.75
155.75,152.25
112.00,175.00
78.75,122.50
120.75,120.75
59.50,63.00
143.50,119.00
87.50,196.00
71.75,131.25
162.75,162.75
176.75,131.25
99.75,185.50
68.25,70.00
124.25,82.25
124.25,103.25
61.25,101.50
143.50,63.00
141.75,161.00
28.00,113.75
61.25,141.75
124.25,141.75
185.50,99.75
70.00,150.50
103.25,122.50
19.25,103.25
99.75,78.75
124.25,59.50
89.25,129.50
99.75,101.50
141.75,103.25
187.25,120.75
36.75,99.75
36.75,122.50
166.25,80.50
101.50,22.75
70.00,92.75
94.50,192.50
