x,y
159.25,161.00
108.50,85.75
73.50,108.50
140.00,78.75
143.50,113.75
126.00,106.75
110.25,113.75
68.25,63.00
147.00,169.75
168.00,75.25
141.75,89.25
101.50,154.00
136.50,183.75
82.25,47.25
120.75,91.00
183.75,134.75
131.25,168.00
57.75,71.75
96.25,178.50
99.75,134.75
85.75,168.00
85.75,108.50
89.25,29.75
89.25,134.75
21.00,113.75
150.50,122.50
80.50,180.25
54.25,115.50
155.75,127.75
75.25,54.25
115.50,141.75
82.25,117.25
126.00,140.00
91.00,189.00
169.75,89.25
147.00,150.50
91.00,101.50
120.75,82.25
164.50,145.25
131.25,36.75
166.25,168.00
140.00,47.25
115.50,197.75
99.75,71.75
154.00,166.25
59.50,94.50
106.75,54.25
106.75,141.75
24.50,92.75
115.50,78.75
140.00,141.75
171.50,117.25
84.00,140.00
166.25,61.25
66.50,166.25
148.75,77.00
82.25,85.75
119.00,105.00
129.50,189.00
26.25,126.00
42.00,110.25
66.50,71.75
124.25,70.00
19.25,134.75
29.75,82.25
96.25,162.75
175.00,82.25
162.75,136.50
203.00,117.25
89.25,42.00
171.50,101.50
197.75,134.75
75.25,157.50
183.75,89.25
31.50,98.00
54.25,122.50
183.75,157.50
164.50,124.25
194.25,101.50
154.00,61.25
17.50,85.75
59.50,133.00
131.25,197.75
99.75,63.00
138.25,119.00
197.75,124.25
134.75,105.00
38.50,154.00
36.75,75.25
171.50,141.75
35.00,140.00
47.25,145.25
85.75,59.50
99.75,124.25
155.75,96.25
136.50,71.75
161.00,49.00
150.50,105.00
192.50,80.50
199.50,108.50
26.25,105.00
91.00,196.00
40.25,87.50
99.75,105.00
117.25,154.00
56.00,166.25
119.00,26.25
70.00,152.25
91.00,127.75
120.75,40.25
138.25,57.75
47.25,66.50
127.75,96.25
14.00,113.75
105.00,24.50
197.75,92.75
50.75,152.25
126.00,159.25
127.75,129.50
166.25,154.00
122.50,199.50
101.50,168.00
63.00,82.25
12.25,145.25
99.75,92.75
40.25,119.00
47.25,175.00
77.00,208.25
112.00,206.50
138.25,24.50
110.25,192.50
182.00,120.75
24.50,140.00
52.50,140.00
92.75,66.50
148.75,91.00
64.75,159.25
101.50,199.50
56.00,105.00
178.50,66.50
112.00,19.25
117.25,120.75
143.50,98.00
161.00,66.50
85.75,75.25
143.50,68.25
143.50,129.50
87.50,155.75
99.75,42.00
138.25,203.00
45.50,50.75
52.50,91.00
134.75,136.50
143.50,194.25
