x,y
126.00,197.75
12.25,112.00
175.00,71.75
61.25,154.00
84.00,35.00
96.25,196.00
162.75,68.25
211.75,112.00
99.75,168.00
189.00,110.25
84.00,112.00
175.00,152.25
47.25,98.00
164.50,89.25
126.00,56.00
133.00,68.25
124.25,98.00
133.00,155.75
98.00,56.00
84.00,89.25
113.75,178.50
124.25,75.25
140.00,112.00
49.00,122.50
124.25,145.25
147.00,126.00
63.00,68.25
73.50,101.50
122.50,168.00
162.75,133.00
112.00,201.25
113.75,89.25
73.50,124.25
112.00,45.50
99.75,78.75
134.75,91.00
87.50,68.25
110.25,22.75
148.75,145.25
85.75,180.25
87.50,155.75
162.75,154.00
59.50,110.25
112.00,159.25
99.75,145.25
