x,y
112.00,208.25
15.75,110.25
40.25,113.75
112.00,12.25
96.25,75.25
145.25,122.50
157.50,159.25
173.25,126.00
80.50,98.00
99.75,175.00
63.00,64.75
110.25,63.00
99.75,47.25
159.25,64.75
112.00,133.00
171.50,96.25
133.00,61.25
78.75,122.50
112.00,35.00
78.75,73.50
91.00,157.50
161.00,84.00
161.00,108.50
183.75,108.50
50.75,96.25
64.75,108.50
98.00,147.00
113.75,85.75
133.00,159.25
138.25,134.75
120.75,50.75
112.00,155.75
112.00,185.50
89.25,59.50
124.25,173.25
61.25,134.75
136.50,110.25
150.50,96.25
91.00,134.75
120.75,145.25
