x,y
73.50,77.00
147.00,147.00
105.00,161.00
147.00,94.50
92.75,94.50
92.75,129.50
56.00,77.00
56.00,94.50
129.50,77.00
110.25,147.00
56.00,129.50
147.00,164.50
110.25,199.50
147.00,129.50
110.25,112.00
183.75,94.50
36.75,112.00
166.25,113.75
129.50,147.00
19.25,112.00
183.75,129.50
129.50,112.00
110.25,59.50
92.75,42.00
92.75,112.00
101.50,84.00
129.50,61.25
129.50,129.50
110.25,164.50
164.50,77.00
164.50,129.50
92.75,77.00
92.75,182.00
75.25,112.00
108.50,96.25
183.75,112.00
164.50,94.50
164.50,147.00
73.50,164.50
201.25,112.00
110.25,182.00
110.25,24.50
129.50,164.50
73.50,59.50
92.75,147.00
92.75,164.50
110.25,42.00
38.50,94.50
38.50,129.50
73.50,94.50
147.00,112.00
129.50,42.00
73.50,129.50
110.25,77.00
56.00,147.00
56.00,112.00
129.50,182.00
110.25,129.50
129.50,94.50
73.50,147.00
92.75,59.50
147.00,77.00
147.00,59.50
