x,y
140.00,87.50
57.75,96.25
126.00,126.00
124.25,50.75
77.00,96.25
115.50,152.25
148.75,92.75
141.75,105.00
155.75,84.00
117.25,178.50
112.00,203.00
84.00,66.50
166.25,134.75
94.50,150.50
94.50,80.50
131.25,110.25
45.50,103.25
94.50,98.00
185.50,134.75
129.50,134.75
91.00,171.50
50.75,124.25
85.75,85.75
204.75,119.00
126.00,187.25
92.75,189.00
131.25,169.75
166.25,154.00
131.25,61.25
147.00,134.75
140.00,145.25
38.50,133.00
57.75,78.75
183.75,99.75
108.50,189.00
64.75,127.75
124.25,103.25
101.50,180.25
168.00,94.50
176.75,108.50
94.50,134.75
183.75,117.25
57.75,148.75
129.50,80.50
131.25,45.50
150.50,63.00
