x,y
173.25,94.50
157.50,141.75
33.25,61.25
143.50,108.50
157.50,110.25
140.00,61.25
175.00,45.50
155.75,77.00
31.50,127.75
78.75,80.50
82.25,159.25
175.00,155.75
63.00,187.25
64.75,127.75
78.75,140.00
96.25,159.25
127.75,190.75
155.75,29.75
155.75,127.75
187.25,96.25
187.25,159.25
190.75,127.75
49.00,45.50
127.75,64.75
173.25,61.25
64.75,77.00
175.00,175.00
64.75,92.75
94.50,190.75
96.25,33.25
31.50,92.75
127.75,92.75
66.50,155.75
77.00,171.50
203.00,108.50
187.25,61.25
159.25,47.25
50.75,77.00
61.25,64.75
77.00,43.75
155.75,159.25
176.75,143.50
49.00,63.00
127.75,80.50
50.75,143.50
140.00,175.00
80.50,112.00
94.50,124.25
157.50,92.75
108.50,108.50
175.00,108.50
63.00,141.75
141.75,77.00
50.75,108.50
141.75,157.50
171.50,80.50
66.50,43.75
49.00,157.50
112.00,143.50
108.50,171.50
63.00,173.25
80.50,126.00
96.25,141.75
157.50,173.25
126.00,141.75
189.00,78.75
134.75,133.00
127.75,159.25
19.25,108.50
108.50,17.50
108.50,77.00
108.50,203.00
150.50,70.00
166.25,70.00
182.00,85.75
78.75,63.00
94.50,78.75
127.75,173.25
150.50,38.50
166.25,85.75
