x,y
166.25,129.50
110.25,73.50
148.75,166.25
73.50,164.50
91.00,66.50
91.00,92.75
112.00,56.00
145.25,127.75
92.75,36.75
110.25,36.75
110.25,129.50
71.75,73.50
148.75,71.75
110.25,19.25
73.50,92.75
166.25,108.50
110.25,147.00
148.75,110.25
129.50,66.50
35.00,92.75
71.75,148.75
73.50,108.50
148.75,148.75
75.25,129.50
110.25,183.75
110.25,201.25
127.75,185.50
36.75,127.75
110.25,110.25
91.00,129.50
63.00,85.75
108.50,164.50
91.00,54.25
54.25,129.50
129.50,73.50
35.00,106.75
54.25,91.00
185.50,110.25
119.00,173.25
187.25,127.75
129.50,166.25
161.00,98.00
108.50,91.00
54.25,112.00
166.25,92.75
131.25,110.25
129.50,148.75
127.75,35.00
92.75,185.50
145.25,92.75
92.75,166.25
73.50,56.00
56.00,71.75
203.00,110.25
185.50,94.50
