x,y
99.75,136.50
129.50,131.25
64.75,161.00
122.50,136.50
155.75,33.25
196.00,108.50
66.50,59.50
129.50,190.75
85.75,162.75
113.75,108.50
155.75,84.00
71.75,190.75
166.25,112.00
75.25,84.00
117.25,59.50
75.25,134.75
70.00,136.50
40.25,133.00
31.50,106.75
63.00,108.50
94.50,136.50
127.75,183.75
127.75,31.50
127.75,84.00
87.50,155.75
178.50,82.25
45.50,136.50
54.25,129.50
87.50,112.00
171.50,54.25
77.00,35.00
173.25,99.75
113.75,157.50
148.75,50.75
143.50,54.25
101.50,33.25
178.50,134.75
141.75,166.25
45.50,80.50
52.50,82.25
71.75,31.50
136.50,155.75
75.25,66.50
94.50,87.50
113.75,131.25
92.75,99.75
99.75,192.50
150.50,87.50
171.50,159.25
