x,y
59.50,171.50
112.00,22.75
161.00,141.75
98.00,68.25
138.25,52.50
85.75,110.25
185.50,82.25
84.00,84.00
59.50,138.25
138.25,203.00
112.00,112.00
85.75,22.75
185.50,112.00
112.00,140.00
84.00,50.75
164.50,49.00
162.75,80.50
63.00,82.25
136.50,80.50
113.75,171.50
57.75,52.50
164.50,169.75
57.75,110.25
108.50,82.25
82.25,169.75
134.75,22.75
33.25,113.75
75.25,126.00
138.25,171.50
85.75,145.25
138.25,141.75
29.75,82.25
112.00,54.25
112.00,201.25
140.00,112.00
85.75,197.75
33.25,140.00
162.75,110.25
150.50,98.00
126.00,154.00
190.75,140.00
150.50,154.00
176.75,98.00
40.25,112.00
145.25,66.50
