x,y
89.25,159.25
136.50,159.25
171.50,131.25
183.75,115.50
101.50,171.50
42.00,99.75
119.00,38.50
148.75,98.00
94.50,183.75
185.50,84.00
101.50,89.25
80.50,64.75
99.75,68.25
108.50,78.75
57.75,131.25
77.00,92.75
131.25,183.75
103.25,40.25
112.00,203.00
110.25,140.00
133.00,57.75
190.75,120.75
117.25,54.25
157.50,91.00
106.75,17.50
47.25,124.25
73.50,117.25
168.00,122.50
57.75,92.75
124.25,189.00
155.75,136.50
124.25,77.00
178.50,101.50
61.25,124.25
164.50,127.75
45.50,140.00
141.75,105.00
124.25,171.50
78.75,171.50
157.50,122.50
164.50,113.75
33.25,112.00
85.75,56.00
117.25,164.50
126.00,64.75
66.50,108.50
78.75,157.50
106.75,61.25
112.00,155.75
82.25,108.50
136.50,45.50
161.00,85.75
169.75,106.75
