x,y
127.75,133.00
117.25,134.75
101.50,133.00
71.75,75.25
182.00,134.75
127.75,75.25
92.75,38.50
147.00,152.25
147.00,78.75
36.75,129.50
106.75,206.50
105.00,94.50
36.75,94.50
91.00,94.50
147.00,133.00
124.25,187.25
98.00,178.50
119.00,140.00
92.75,75.25
201.25,117.25
91.00,133.00
126.00,154.00
164.50,152.25
164.50,115.50
120.75,126.00
17.50,110.25
70.00,150.50
89.25,169.75
54.25,92.75
66.50,80.50
108.50,150.50
52.50,150.50
78.75,71.75
45.50,103.25
141.75,70.00
61.25,105.00
70.00,169.75
91.00,152.25
183.75,98.00
145.25,169.75
71.75,113.75
108.50,189.00
106.75,169.75
115.50,178.50
166.25,98.00
110.25,57.75
148.75,96.25
84.00,101.50
166.25,78.75
98.00,140.00
183.75,117.25
91.00,115.50
61.25,120.75
73.50,94.50
159.25,108.50
120.75,87.50
175.00,108.50
127.75,96.25
110.25,82.25
157.50,87.50
73.50,56.00
99.75,161.00
136.50,161.00
45.50,119.00
63.00,141.75
110.25,113.75
57.75,77.00
101.50,47.25
52.50,110.25
166.25,134.75
175.00,127.75
194.25,127.75
