x,y,r
162,188,13
34,172,16
230,32,13
90,184,16
224,78,16
90,218,15
92,36,15
76,162,14
226,228,14
80,214,16
166,36,15
28,28,13
188,164,13
226,166,13
228,74,16
182,38,12
84,66,16
164,186,13
160,218,15
74,218,12
22,220,14
230,36,12
70,164,15
230,78,10
26,224,14
228,106,8
222,188,5
226,30,12
182,216,9
24,104,8
214,184,6
230,232,5
224,182,8
164,78,7
190,224,8
226,150,7
36,98,6
64,186,5
230,110,3
32,160,7
182,222,7
44,76,6
92,180,6
214,180,6
28,146,7
220,174,6
24,24,5
222,152,5
172,72,8
182,228,6
28,74,6
36,162,3
28,32,8
52,184,7
164,46,7
50,68,5
224,110,4
48,186,4
24,146,3
110,28,3
146,228,3
230,150,3
54,72,2
40,76,6
28,106,5
74,188,5
204,168,5
140,226,3
148,30,3
234,28,3
