x,y,r
134,108,19
18,130,16
122,106,19
128,32,17
168,168,19
70,162,19
238,130,11
134,220,15
134,72,12
98,192,8
218,156,8
46,110,14
60,124,9
108,166,12
128,226,12
78,174,8
176,156,8
70,148,13
86,90,10
142,214,10
132,130,8
58,138,8
96,210,7
144,62,10
104,126,10
178,140,10
158,102,9
56,156,5
158,194,9
138,48,8
178,174,8
96,68,7
100,156,7
158,120,7
160,156,7
158,50,9
98,138,5
122,72,9
128,40,9
86,182,8
158,66,8
120,156,7
180,86,7
36,138,5
136,156,4
156,210,4
112,134,9
166,144,8
78,102,7
98,100,7
118,176,6
100,174,4
126,180,9
118,122,7
138,122,7
154,174,7
168,76,6
146,114,8
18,120,7
108,114,7
168,182,6
100,86,4
178,192,4
86,132,10
90,166,8
108,146,7
138,194,7
190,130,7
146,128,6
108,76,6
58,86,4
78,138,4
78,68,4
118,210,4
156,138,4
178,68,4
198,86,4
198,156,4
48,144,7
170,112,7
78,82,7
110,56,7
116,50,7
200,122,7
108,200,6
80,154,6
148,76,6
156,88,6
78,192,5
198,174,4
54,104,7
126,78,7
220,120,6
196,136,4
