x,y,r
118,200,19
80,140,19
118,62,19
140,200,19
128,102,19
70,152,19
70,162,19
100,130,19
148,160,17
98,72,19
188,110,19
98,190,19
218,130,19
128,168,19
182,94,17
106,94,19
76,94,17
130,210,19
74,170,17
126,112,17
50,132,19
70,110,19
30,130,13
130,136,19
126,152,19
116,156,17
76,116,14
128,62,14
128,82,14
88,188,14
170,188,14
148,72,13
38,130,12
198,130,14
168,110,13
128,200,14
160,72,13
188,120,14
148,188,13
128,92,14
168,132,13
148,54,12
130,34,12
130,220,13
188,150,13
188,170,11
140,190,9
170,72,9
180,128,11
128,178,9
148,130,11
186,140,10
160,188,10
60,130,9
126,232,10
140,72,9
70,142,9
88,72,9
126,52,10
208,130,9
116,38,6
76,82,6
108,168,3
188,130,3
110,132,9
170,82,5
76,126,3
150,92,3
150,168,3
152,146,3
232,128,7
58,164,6
84,96,5
162,92,5
144,108,3
162,156,3
