x,y,r
148,104,10
148,148,10
104,104,10
104,148,10
148,36,10
148,216,10
82,194,10
104,36,10
104,216,10
214,104,10
126,148,10
82,58,10
126,104,10
82,80,10
104,172,10
16,126,10
60,172,10
126,12,10
82,172,10
148,172,10
170,80,10
148,80,10
38,148,10
60,80,10
126,240,10
194,126,10
170,148,10
192,172,10
82,148,10
170,104,10
104,58,10
148,58,10
38,104,9
82,104,10
104,194,10
148,194,10
110,64,14
148,126,10
170,58,10
192,148,10
104,78,7
238,124,7
96,156,11
104,124,7
60,126,9
110,186,12
214,148,10
192,82,9
126,126,6
216,126,6
142,96,11
126,36,6
126,216,6
170,126,6
156,96,11
156,156,11
48,134,8
126,58,10
192,100,8
140,66,11
114,136,8
60,152,8
38,126,6
114,116,8
60,104,6
124,194,7
170,172,6
138,162,8
136,46,9
136,206,8
204,116,7
126,80,6
170,194,5
202,160,9
114,206,8
136,116,8
126,170,7
