x,y,r
184,116,10
48,158,10
184,94,10
144,120,17
192,122,19
174,62,15
112,132,17
120,154,17
132,36,17
56,126,17
80,62,15
122,228,17
184,180,10
184,158,10
60,146,15
162,76,7
204,158,7
38,126,10
138,144,8
184,52,10
94,198,7
128,94,6
60,170,15
94,126,10
50,74,10
162,200,10
198,168,8
116,108,8
128,212,6
72,116,9
14,124,8
130,232,8
138,108,8
94,50,7
214,126,7
138,202,8
138,74,6
184,200,6
50,180,11
130,190,8
116,144,8
94,74,5
72,140,8
128,116,6
72,74,6
26,136,6
94,180,5
154,64,9
116,204,8
228,116,6
80,190,8
124,20,8
162,124,8
48,94,7
70,200,6
70,52,6
70,158,5
160,180,5
172,192,8
242,126,8
184,76,7
128,158,6
138,222,6
228,136,6
70,94,5
194,150,8
138,126,6
106,116,6
128,138,6
192,102,9
60,106,8
128,62,6
116,222,6
162,52,6
206,74,6
26,116,5
184,136,5
50,116,8
58,84,8
206,94,6
104,138,6
116,30,6
116,180,6
138,180,5
106,192,8
48,138,8
206,136,8
