x,y,r
130,134,19
140,76,19
140,200,19
42,134,19
130,46,19
190,144,19
180,116,19
120,56,19
116,98,14
118,154,17
120,194,14
96,120,15
118,42,14
136,214,13
130,116,12
48,162,10
130,126,10
186,166,7
206,92,7
62,116,10
164,52,9
196,120,6
76,120,5
124,226,12
130,142,12
44,114,10
202,114,10
124,14,8
146,32,8
46,92,7
66,92,7
166,148,7
204,166,7
184,92,7
186,130,6
120,124,10
128,172,9
224,148,8
28,150,7
126,244,6
56,102,5
172,116,11
52,144,9
146,224,9
54,124,9
84,148,9
144,90,9
100,198,8
8,130,8
106,110,8
106,226,8
152,198,8
28,130,5
56,158,5
196,158,5
98,80,8
134,62,8
86,50,7
68,166,7
166,110,7
136,100,6
144,130,6
168,130,5
176,138,5
122,108,9
96,140,8
198,100,8
104,166,7
212,140,7
96,60,6
66,148,6
108,148,6
108,206,6
126,186,6
154,62,6
106,70,5
116,138,5
126,206,6
204,130,5
116,178,5
108,90,6
28,110,6
144,186,6
224,130,5
126,70,5
116,80,5
164,208,4
134,178,5
214,120,5
