x,y,r
128,36,12
98,100,11
46,102,19
218,134,14
98,202,14
216,204,12
38,206,11
158,68,14
40,66,12
218,64,11
160,206,14
128,70,11
128,204,11
194,100,15
68,98,14
160,170,11
62,134,19
98,234,10
190,234,10
136,50,19
148,52,17
190,134,16
156,136,14
126,166,12
158,36,10
158,230,17
44,170,16
42,138,17
188,34,12
66,32,11
98,166,10
96,40,17
104,136,15
194,168,15
64,168,14
96,64,13
216,98,12
162,100,10
140,58,17
68,238,12
80,220,12
188,66,9
148,222,16
128,230,15
106,48,17
186,172,12
106,218,15
136,152,15
64,68,12
214,168,15
86,48,14
56,190,12
190,204,12
112,152,10
160,238,10
170,48,14
130,104,12
54,84,10
200,190,12
70,134,12
174,224,10
132,136,14
94,136,13
198,82,12
56,150,10
72,204,12
52,112,11
