x,y,r
226,228,15
20,48,12
216,40,15
140,144,16
28,228,15
226,32,14
198,18,12
164,130,13
132,170,13
218,220,12
60,236,8
140,236,8
208,22,8
168,22,8
168,236,8
120,84,10
110,18,8
80,158,7
14,144,7
14,168,7
230,38,7
32,238,8
152,144,8
14,62,7
26,116,7
26,196,7
216,216,8
234,170,8
126,74,7
88,28,7
114,28,7
114,242,7
194,242,7
80,82,6
80,176,6
140,244,6
44,216,5
112,142,8
160,150,8
30,32,7
228,144,7
26,170,7
88,16,7
22,218,8
104,170,8
208,42,7
14,210,7
36,220,8
102,114,8
90,20,7
46,42,6
122,104,5
210,216,5
216,104,7
86,136,6
124,184,6
160,106,4
100,230,3
162,236,3
208,230,3
208,242,3
122,170,8
40,40,7
118,176,7
152,112,7
94,134,7
40,156,7
50,22,6
92,234,6
106,90,6
22,148,5
20,96,3
54,236,3
146,236,3
180,34,8
174,138,7
122,96,7
122,162,7
20,110,6
242,116,6
82,122,5
100,18,5
170,134,5
98,148,3
100,242,3
208,16,3
86,164,6
96,88,6
222,14,6
160,170,6
76,136,5
88,234,5
170,96,5
176,102,5
178,124,5
214,46,5
26,222,3
40,236,3
46,230,3
94,154,3
104,154,3
154,28,3
160,162,3
202,236,3
8,184,8
112,116,6
242,62,6
132,88,6
242,142,6
242,210,6
176,158,5
60,26,5
152,134,5
158,22,5
102,86,4
104,124,4
26,210,3
60,16,3
98,130,3
188,22,3
214,236,3
230,90,3
