x,y,r
160,68,17
58,78,10
44,134,19
140,46,17
136,182,16
126,240,10
164,182,16
80,194,10
114,68,17
58,126,10
182,92,19
70,162,17
140,204,17
126,56,10
206,138,17
128,78,10
132,202,15
174,56,10
70,94,12
188,160,8
78,124,8
96,184,14
122,180,14
190,96,14
128,172,11
150,124,6
80,56,9
58,170,7
94,204,17
214,108,14
184,110,12
150,172,11
206,114,9
126,148,6
86,188,14
102,218,8
174,102,7
66,114,8
126,218,7
196,148,7
34,102,7
126,10,6
128,30,9
94,66,8
198,126,8
104,194,7
172,78,7
174,148,7
104,172,6
12,124,6
214,116,12
198,100,9
102,32,8
174,196,8
186,138,8
44,114,8
148,56,8
34,124,7
196,170,7
150,32,6
148,196,9
126,192,8
172,174,8
126,124,7
104,78,6
78,148,8
150,76,8
104,126,7
138,68,7
148,216,8
116,206,6
102,54,9
70,140,8
126,102,6
136,114,9
56,102,8
78,170,8
242,126,6
220,102,6
220,144,4
