x,y,r
172,128,10
194,128,10
148,150,10
126,16,10
42,108,16
126,60,10
76,88,14
100,76,14
144,46,14
54,134,17
150,216,10
156,66,14
148,128,10
194,150,10
172,58,8
96,138,13
156,98,12
114,116,10
82,192,8
188,88,14
96,66,12
138,138,10
126,238,6
172,106,6
168,188,12
86,68,12
134,186,12
112,202,10
102,40,10
70,114,8
126,218,8
126,150,6
126,172,6
178,154,12
56,172,8
126,108,8
36,150,7
148,106,7
240,128,6
202,122,12
118,54,11
84,174,10
118,186,10
172,80,9
194,108,8
92,180,8
172,170,8
104,106,7
216,106,6
82,150,6
104,128,6
216,128,6
66,78,14
50,122,12
132,164,12
142,54,11
204,138,11
68,94,9
126,130,8
36,128,6
98,158,11
70,158,8
116,140,8
136,116,8
158,116,8
58,150,6
82,106,6
134,200,12
102,194,10
70,136,8
158,138,8
58,106,6
14,128,6
132,54,11
94,94,8
48,140,8
104,214,8
112,72,8
160,180,8
162,160,8
182,114,8
218,150,8
104,60,7
82,126,10
104,148,8
128,40,8
182,140,8
126,82,7
82,60,6
140,94,8
114,96,8
184,160,8
192,172,7
92,116,7
138,72,7
160,202,8
180,72,8
126,194,7
170,150,7
60,84,7
150,38,6
152,86,6
104,172,6
148,60,6
148,194,6
