x,y,r
84,170,19
54,172,19
172,84,19
172,200,19
76,90,17
118,62,19
136,210,19
120,190,17
54,156,19
142,68,19
42,114,17
192,194,17
74,164,17
208,122,17
210,136,16
142,156,19
44,102,16
132,196,16
210,102,15
200,98,10
40,38,9
214,38,9
74,148,14
190,122,14
154,42,13
40,214,9
144,22,7
144,114,7
214,186,6
214,82,15
140,56,7
142,84,10
66,40,7
216,214,7
40,186,6
112,24,6
24,110,7
56,80,7
110,84,7
184,40,7
40,156,6
98,186,6
112,142,6
142,142,6
170,112,6
230,142,6
184,110,12
48,122,9
10,126,6
214,68,6
244,126,6
84,38,10
196,176,10
68,98,7
54,186,6
68,54,6
68,82,6
68,186,6
98,82,6
186,186,6
186,200,6
156,186,6
170,142,6
142,172,9
28,138,8
184,158,7
84,82,6
142,200,6
186,214,6
98,38,6
126,68,6
170,54,6
128,24,9
182,94,9
92,162,9
96,216,7
202,66,7
142,230,7
68,214,6
214,126,6
84,112,6
128,244,6
170,68,6
170,186,6
90,60,4
82,142,9
114,228,7
40,126,6
68,156,6
98,68,6
40,68,6
54,200,6
98,98,6
156,68,6
156,82,6
170,98,6
170,156,6
200,186,6
62,180,9
38,96,7
70,202,7
158,96,7
184,82,7
186,54,7
54,112,6
112,54,6
112,200,6
200,112,6
68,68,6
126,126,6
128,10,6
156,156,6
186,68,6
186,170,6
68,126,6
156,216,6
54,54,6
54,68,6
68,170,6
84,98,6
84,186,6
84,200,6
98,170,6
112,172,6
128,54,6
156,172,6
200,54,6
200,82,6
200,200,6
164,164,4
54,142,6
128,186,6
200,142,6
230,112,6
170,170,6
200,126,6
112,112,6
126,38,6
84,54,6
84,156,6
208,76,4
54,96,8
68,112,6
112,214,6
46,134,4
