x,y,r
120,216,19
112,180,17
74,120,19
180,76,19
130,34,19
150,204,19
114,192,16
166,156,17
134,92,17
44,140,17
114,142,17
148,86,13
138,222,15
186,100,13
138,76,13
160,76,12
96,142,10
186,146,12
70,128,10
114,32,10
116,162,10
140,162,10
104,130,8
150,130,8
190,136,10
130,62,10
220,122,12
180,122,10
128,106,9
134,188,8
24,128,10
216,136,10
126,150,9
28,144,8
92,120,8
114,98,8
48,130,3
126,204,9
120,90,8
158,198,8
186,174,7
104,56,7
130,52,7
128,98,6
128,176,6
160,130,6
28,116,8
100,72,7
126,140,7
166,138,7
128,194,3
58,94,7
140,66,7
192,92,6
138,120,4
172,72,8
98,190,8
116,66,7
62,184,6
122,58,6
130,234,6
150,218,6
188,82,6
94,130,5
62,114,3
132,170,3
138,44,3
148,44,3
136,140,7
142,30,7
202,126,7
74,162,7
192,202,7
126,78,6
150,186,6
170,62,6
192,76,6
184,158,6
200,192,6
62,130,3
62,144,3
108,214,3
