x,y,r
140,90,19
204,142,19
160,166,17
246,130,9
206,120,17
34,102,10
82,52,10
94,114,14
190,112,15
224,100,10
160,190,12
134,138,16
114,92,14
58,178,10
178,178,9
48,142,9
174,86,9
50,116,8
96,190,12
174,204,11
150,152,10
196,104,9
176,130,7
60,154,8
98,74,14
168,170,12
60,106,10
164,140,8
78,204,7
186,146,13
102,178,9
132,106,9
154,106,9
118,164,8
106,58,8
106,198,7
198,154,7
150,226,7
220,130,9
106,128,9
108,152,9
128,198,9
138,164,10
130,180,10
84,82,9
132,80,9
164,70,9
164,116,9
218,154,9
224,160,8
94,144,8
94,162,8
150,200,8
106,106,7
116,190,7
184,120,7
106,82,9
72,116,8
120,68,8
128,156,8
72,142,7
162,92,9
68,164,8
92,94,8
60,132,7
152,58,7
176,54,6
36,154,8
84,152,8
198,132,8
74,94,9
138,192,8
150,130,8
174,108,7
10,130,5
92,68,9
84,178,9
80,130,8
82,106,8
140,46,8
128,58,7
130,38,6
116,48,8
186,166,8
60,84,7
140,70,7
118,142,9
138,214,8
176,152,8
152,82,7
130,130,9
152,180,8
106,34,7
