x,y,r
198,150,19
86,140,19
176,104,17
110,36,19
142,70,16
216,134,15
188,200,15
148,64,13
222,222,7
106,194,13
148,194,13
80,160,12
148,120,12
88,222,7
200,222,7
200,58,7
160,130,9
122,24,8
142,232,8
42,198,7
110,128,7
142,212,9
44,150,8
88,164,8
100,60,8
110,220,8
104,92,8
122,232,8
176,60,8
200,70,8
22,130,9
100,104,8
100,176,8
154,92,8
78,198,8
120,96,6
130,152,6
188,72,8
192,212,8
198,84,6
66,48,5
120,198,5
142,92,5
156,82,5
64,154,7
44,174,6
64,104,6
110,58,6
44,106,6
146,162,6
32,118,5
66,140,5
76,118,5
178,48,5
178,210,5
172,88,4
42,36,3
48,88,3
126,64,3
70,160,8
44,120,7
132,34,6
130,224,6
120,138,6
76,140,5
76,210,5
110,70,5
132,12,5
132,48,5
132,140,5
154,152,5
166,210,5
188,162,5
88,174,4
194,52,4
48,192,3
110,82,3
126,192,3
132,82,3
