x,y,r
194,126,10
62,162,12
60,126,10
152,222,10
154,132,19
138,126,10
46,126,10
134,88,10
190,144,17
158,52,15
120,202,10
208,142,10
118,182,7
96,64,15
152,108,9
120,146,15
134,50,10
208,104,10
120,242,15
98,202,9
156,202,9
172,126,9
102,160,11
60,142,10
134,202,10
120,124,10
226,146,9
46,164,9
208,164,9
118,28,13
190,164,10
138,236,9
134,146,9
98,218,9
102,46,10
120,50,10
120,218,10
120,88,9
172,142,9
156,164,9
138,66,10
46,104,9
26,124,7
226,122,9
62,106,7
190,108,9
46,142,9
208,126,9
138,30,9
80,142,7
