x,y,r
172,152,10
82,152,10
182,108,19
172,108,10
136,52,17
46,118,17
182,140,17
104,176,10
116,210,17
150,84,10
126,108,10
116,186,17
36,108,11
204,140,17
104,40,10
126,152,10
148,40,10
60,174,10
192,174,11
112,48,10
126,174,6
204,96,17
208,116,14
142,212,12
96,184,10
82,128,8
104,128,8
126,62,6
126,198,10
128,84,10
194,86,6
172,84,6
112,68,11
112,78,11
216,152,6
82,84,6
166,76,12
142,78,11
36,152,6
82,198,6
14,130,5
180,168,11
172,174,6
172,198,6
126,18,5
126,242,5
148,220,6
36,130,6
194,108,6
172,130,6
82,108,5
96,72,9
68,142,8
82,176,6
68,164,9
184,120,8
48,144,8
72,96,7
194,130,6
182,152,9
152,178,7
70,118,7
126,40,7
184,96,6
216,130,6
160,184,7
148,128,7
104,62,6
104,220,5
150,198,6
82,62,5
172,62,5
216,108,5
