x,y,r
50,130,19
146,90,19
126,128,19
110,90,19
148,168,19
114,66,19
142,144,19
102,60,16
162,164,19
118,198,14
100,78,16
140,40,16
140,220,16
138,198,13
108,130,8
176,102,17
196,100,15
80,120,15
196,140,15
154,82,17
100,180,16
218,142,16
42,120,14
156,100,14
120,120,14
136,60,14
176,140,14
42,142,16
138,178,14
146,130,9
88,52,8
156,198,14
108,208,9
80,140,14
60,158,14
136,120,13
128,90,9
168,130,7
138,22,13
142,66,12
58,100,13
62,142,12
180,176,12
180,122,10
108,228,8
88,168,6
128,52,6
132,76,12
218,122,12
122,104,10
82,182,10
102,122,9
118,158,9
70,150,8
50,168,8
70,132,7
128,166,7
90,130,7
128,32,6
166,188,6
226,130,6
148,110,5
140,102,12
152,116,10
94,104,10
114,46,10
102,136,9
70,188,8
166,90,6
166,150,6
186,90,6
206,130,6
78,104,12
142,48,12
114,144,10
114,38,10
142,84,10
154,58,10
70,168,6
108,168,6
138,160,9
68,110,8
108,150,6
206,148,6
30,148,8
148,228,8
178,80,7
108,188,6
76,162,10
198,156,10
192,118,9
102,202,9
154,156,9
120,78,8
206,90,5
206,168,5
244,130,5
96,156,9
108,110,8
130,14,7
130,228,7
166,52,5
88,208,7
68,90,7
166,72,7
12,130,6
88,148,7
50,90,6
154,176,9
60,120,7
86,110,7
184,188,7
118,216,7
90,90,6
128,150,5
166,208,5
34,114,9
118,176,7
128,208,6
166,110,6
50,110,6
108,52,5
128,188,5
128,110,5
186,168,6
60,178,6
90,72,6
70,72,5
128,246,5
148,188,5
