x,y,r
54,126,7
148,144,7
146,218,10
186,88,17
18,124,10
148,106,7
146,34,10
202,202,10
70,68,10
126,236,10
146,184,10
186,180,10
112,218,9
128,50,7
240,126,7
70,108,10
94,48,10
94,202,10
182,72,10
186,108,10
186,218,10
90,162,9
112,34,9
52,52,10
70,184,10
150,72,10
186,142,10
220,142,10
220,184,10
36,108,9
90,90,9
52,86,10
52,160,10
70,142,10
186,34,10
36,142,9
70,34,10
108,72,10
168,198,10
220,68,10
52,198,10
164,164,10
168,52,10
220,108,10
74,220,9
164,86,9
54,70,12
112,184,9
128,182,12
76,204,15
108,104,10
108,146,10
186,164,13
126,16,9
110,162,12
166,106,12
168,124,10
202,86,10
204,70,8
130,90,9
204,164,11
164,68,9
90,128,9
184,200,8
202,50,8
204,182,8
168,180,9
128,164,8
100,98,5
204,126,2
