x,y,r
16,128,10
84,150,10
150,216,10
84,128,10
84,106,10
106,194,10
240,128,10
84,82,10
84,172,10
128,194,10
196,128,10
218,106,10
150,82,10
174,82,10
218,150,10
84,60,10
106,60,10
106,106,10
174,150,10
38,106,10
84,194,10
150,172,10
150,194,10
174,172,10
62,128,10
128,150,10
150,60,10
128,240,10
174,128,10
106,82,10
106,216,10
128,106,10
196,82,10
196,150,10
60,150,10
62,84,10
62,172,10
106,150,10
150,38,10
172,194,10
196,106,10
174,60,10
174,106,9
128,60,10
196,172,10
114,186,11
218,128,10
106,38,10
106,172,9
128,82,6
150,106,6
128,36,7
106,128,6
128,172,6
60,104,6
40,150,6
50,142,8
164,142,10
114,68,10
142,116,8
206,140,8
128,216,6
140,164,8
150,128,6
162,186,8
186,160,8
38,128,6
142,186,10
128,124,7
94,136,8
148,150,7
98,180,7
