x,y,r
210,98,12
100,180,12
44,98,12
142,192,19
128,100,10
154,96,12
132,158,19
198,136,19
128,234,8
16,124,8
100,124,8
182,180,8
142,140,19
74,124,10
180,124,10
128,70,8
72,66,10
44,124,8
210,124,8
162,106,16
154,208,14
236,126,10
62,110,15
70,178,10
98,100,10
98,152,10
116,56,10
116,194,10
154,42,8
182,70,11
98,210,10
124,206,10
128,14,8
72,152,8
98,40,11
156,70,11
128,124,8
58,136,10
126,184,11
128,44,10
44,154,9
156,152,8
180,150,9
100,70,8
68,98,9
142,110,12
140,58,10
170,136,10
144,166,10
112,112,10
154,180,8
214,156,7
