x,y,r
34,32,16
40,36,12
40,218,12
38,36,14
100,128,12
212,44,13
32,190,12
170,226,12
130,92,12
128,154,12
112,110,13
112,144,13
148,112,12
218,226,12
220,30,9
232,126,12
226,52,9
34,210,8
100,122,8
232,28,8
36,90,7
124,172,8
34,42,7
214,208,7
32,28,7
34,62,7
36,40,7
94,34,6
120,220,6
44,40,8
124,160,8
216,40,8
226,222,8
32,226,7
36,222,6
142,128,6
38,102,8
218,40,7
36,190,7
174,158,6
70,34,6
230,78,8
44,214,7
118,136,6
174,96,6
194,34,6
162,86,5
234,164,5
144,22,8
50,150,7
90,98,7
218,214,7
128,94,7
162,28,6
228,228,6
170,34,6
50,102,6
144,220,5
106,164,2
118,90,2
118,164,2
156,90,2
50,210,7
24,26,6
34,198,6
82,128,6
108,230,6
124,146,6
218,28,6
44,20,6
212,152,6
176,130,5
208,204,5
38,32,7
160,122,7
34,156,7
224,166,6
130,136,5
138,130,5
208,50,5
222,220,5
216,42,4
228,224,4
106,90,2
132,90,2
132,164,2
