x,y,r
68,126,17
172,144,19
90,202,10
164,102,19
110,222,10
138,20,16
90,30,10
202,128,15
150,222,10
48,72,10
232,94,10
212,72,9
98,40,16
162,192,16
158,126,15
84,148,15
110,180,9
202,82,15
68,94,9
232,138,9
122,208,10
110,94,9
152,202,8
120,188,12
110,138,9
150,116,9
152,30,8
130,8,6
130,30,6
136,194,10
188,116,8
130,116,6
130,202,6
212,116,6
136,108,10
68,138,9
128,72,7
170,58,6
192,94,6
130,94,9
112,202,7
48,116,6
74,158,6
88,174,6
170,88,6
170,174,6
170,30,5
56,110,12
212,94,9
112,116,7
128,158,7
170,202,5
122,22,10
120,38,8
222,104,6
212,158,5
140,168,10
36,106,8
60,126,8
140,128,8
150,10,7
70,116,7
170,72,6
170,158,6
130,244,5
36,126,8
140,214,8
222,128,8
50,158,7
88,88,6
156,158,6
184,72,6
184,158,6
104,72,6
104,158,6
150,52,6
120,128,8
200,102,8
88,118,7
130,224,6
28,116,6
212,138,6
74,72,6
156,72,6
110,30,8
148,180,7
170,114,7
90,58,6
88,72,6
88,158,6
142,40,8
130,178,7
192,138,6
28,94,5
110,52,5
